X,Y,MEAN_X,MEAN_Y,ID_divisao
-50.2242397671059,-20.6396049089215,-50.224239767105900,-20.639604908921537,352830405_.
-46.4548705767192,-23.8803850478472,-46.454870576719181,-23.880385047847248,351350405_3513504016
-46.4645489272786,-23.9132615373347,-46.464548927278571,-23.913261537334673,351350405_3513504015
-46.4565884005486,-23.8827282298359,-46.456588400548561,-23.882728229835902,351350405_3513504018
-48.4782655240318,-22.935860339197,-48.478265524031833,-22.935860339197038,350750605_3507506076
-46.4486408239842,-23.8746821236321,-46.448640823984213,-23.874682123632141,351350405_3513504017
-48.4670197448877,-22.9161396225803,-48.467019744887651,-22.916139622580310,350750605_3507506075
-46.4142583921761,-23.9270328513867,-46.414258392176109,-23.927032851386667,351350405_3513504012
-49.6880157997277,-21.058227866877,-49.688015799727673,-21.058227866877008,352570605_.
-48.4434242583746,-22.9088428804573,-48.443424258374648,-22.908842880457332,350750605_3507506078
-46.4276925943563,-23.9208104604935,-46.427692594356344,-23.920810460493524,351350405_3513504011
-48.44952958442,-22.9030020427295,-48.449529584420034,-22.903002042729547,350750605_3507506077
-46.4307443773472,-23.9338020456846,-46.430744377347182,-23.933802045684558,351350405_3513504014
-48.4343378390208,-22.9333820178132,-48.434337839020763,-22.933382017813184,350750605_3507506072
-46.4046002219582,-23.9302888459823,-46.404600221958233,-23.930288845982258,351350405_3513504013
-48.4389127246124,-22.9257080401202,-48.438912724612393,-22.925708040120242,350750605_3507506071
-48.4588922265473,-22.9084304772366,-48.458892226547256,-22.908430477236557,350750605_3507506074
-48.4660703825435,-22.9325240906995,-48.466070382543535,-22.932524090699545,350750605_3507506073
-46.4465657815117,-23.90102929556,-46.446565781511744,-23.901029295560015,351350405_3513504021
-46.4559012883102,-23.8909336969775,-46.455901288310230,-23.890933696977491,351350405_3513504020
-46.3262868897862,-23.9543037073517,-46.326286889786203,-23.954303707351713,354850005_3548500009
-46.3130003558205,-23.9598744286156,-46.313000355820485,-23.959874428615606,354850005_3548500008
-48.4520714499457,-22.8964795624964,-48.452071449945727,-22.896479562496378,350750605_3507506081
-48.4524664767537,-22.9015395864153,-48.452466476753727,-22.901539586415350,350750605_3507506080
-46.307479417513,-23.9761828506418,-46.307479417513008,-23.976182850641781,354850005_3548500005
-46.3150435940244,-23.9700734125832,-46.315043594024374,-23.970073412583236,354850005_3548500004
-47.8688241271066,-23.347032806119,-47.868824127106571,-23.347032806119003,355400305_3554003007
-46.3001579017349,-23.9720182419918,-46.300157901734906,-23.972018241991751,354850005_3548500007
-47.8411605981984,-23.3375530608277,-47.841160598198385,-23.337553060827734,355400305_3554003006
-46.3016361588683,-23.9844520828042,-46.301636158868305,-23.984452082804182,354850005_3548500006
-47.83880260184,-23.341765642312,-47.838802601840023,-23.341765642311962,355400305_3554003009
-47.8508916000231,-23.3829138150474,-47.850891600023090,-23.382913815047392,355400305_3554003008
-47.5805629028179,-20.8957615488678,-47.580562902817896,-20.895761548867785,350590605_.
-47.881329260618,-23.3622151327121,-47.881329260617967,-23.362215132712102,355400305_3554003003
-47.8794711953455,-23.3602558184593,-47.879471195345531,-23.360255818459315,355400305_3554003002
-47.8439622676324,-23.3425751345991,-47.843962267632385,-23.342575134599080,355400305_3554003005
-46.6818316876041,-23.5370506869035,-46.681831687604117,-23.537050686903452,355030860_.
-47.8191185560655,-23.3330981495674,-47.819118556065490,-23.333098149567373,355400305_3554003004
-47.8618423333687,-23.3587180769248,-47.861842333368728,-23.358718076924777,355400305_3554003001
-46.4332534610645,-23.8995107273668,-46.433253461064467,-23.899510727366771,351350405_3513504009
-46.4252316382752,-23.8958666649525,-46.425231638275235,-23.895866664952461,351350405_3513504008
-48.4441594250843,-22.93455412313,-48.444159425084315,-22.934554123130013,350750605_3507506069
-48.4466174721592,-22.9211663516604,-48.446617472159190,-22.921166351660403,350750605_3507506068
-46.4209002696608,-23.885904984107,-46.420900269660820,-23.885904984107000,351350405_3513504005
-49.6262902481548,-22.5991766171814,-49.626290248154838,-22.599176617181449,355550510_.
-46.4152079088004,-23.8827307362976,-46.415207908800355,-23.882730736297567,351350405_3513504004
-45.4314176548812,-23.7254365533382,-45.431417654881173,-23.725436553338238,355070415_.
-46.428812974678,-23.8909449642763,-46.428812974678024,-23.890944964276294,351350405_3513504007
-48.4585508855403,-22.8861118761989,-48.458550885540269,-22.886111876198939,350750605_3507506065
-46.4256976837694,-23.8867788113095,-46.425697683769393,-23.886778811309540,351350405_3513504006
-48.4616698518763,-22.8807263816489,-48.461669851876280,-22.880726381648905,350750605_3507506064
-46.4252117650859,-23.8791155320107,-46.425211765085884,-23.879115532010697,351350405_3513504001
-48.456932044077,-22.9136100232327,-48.456932044076972,-22.913610023232707,350750605_3507506067
-48.4701084847212,-22.8868439670659,-48.470108484721202,-22.886843967065932,350750605_3507506066
-46.4166824366784,-23.8780260891264,-46.416682436678393,-23.878026089126383,351350405_3513504003
-48.477168159807,-22.9130094621036,-48.477168159806965,-22.913009462103620,350750605_3507506061
-49.3874662961307,-20.6698718514178,-49.387466296130704,-20.669871851417845,352115005_.
-46.4195664735746,-23.8734192118231,-46.419566473574584,-23.873419211823094,351350405_3513504002
-48.4687816415611,-22.9006596431576,-48.468781641561094,-22.900659643157557,350750605_3507506060
-48.455701492466,-22.8794140127873,-48.455701492465963,-22.879414012787340,350750605_3507506063
-51.2333926957706,-22.0097411266976,-51.233392695770561,-22.009741126697612,350890005_.
-48.4858543681196,-22.9183743701335,-48.485854368119597,-22.918374370133510,350750605_3507506062
-46.4241806214666,-23.9049948143265,-46.424180621466576,-23.904994814326535,351350405_3513504010
-48.4530532769021,-22.932052928791,-48.453053276902118,-22.932052928791023,350750605_3507506070
-50.9634556292526,-21.8791613387608,-50.963455629252607,-21.879161338760770,354470705_.
-46.7490824561783,-23.4912364608036,-46.749082456178307,-23.491236460803613,355030895_.
-48.9392967839481,-21.1266171392202,-48.939296783948080,-21.126617139220166,351110205_3511102110
-45.4451598913804,-23.6896712998354,-45.445159891380406,-23.689671299835410,351050010_.
-48.772126820537,-24.2243186244792,-48.772126820537032,-24.224318624479157,354300605_.
-47.5643060137134,-24.7515578862804,-47.564306013713427,-24.751557886280359,352042605_.
-50.2249267293397,-20.9637841096673,-50.224926729339664,-20.963784109667259,352725605_.
-48.4531799551349,-22.8579629355411,-48.453179955134949,-22.857962935541124,350750605_3507506058
